,Product_Name,Product_Rating,Product_Price
72,"realme 9i (Prism Blue, 64 GB)",4.4,"₹12,999"
73,"realme C21Y (Cross Black, 64 GB)",4.5,"₹10,499"
74,"realme C21Y (Cross Blue, 64 GB)",4.5,"₹10,499"
75,"IAIR Basic Feature Dual Sim Mobile Phone with 2800mAh Battery, 2.4 inch Display Screen, 0.8 mp Camera ...",3.7,"₹1,320"
76,"realme C21Y (Cross Black, 32 GB)",4.6,"₹9,499"
77,"realme C21Y (Cross Blue, 32 GB)",4.6,"₹9,499"
78,"SAMSUNG Galaxy F12 (Sky Blue, 64 GB)",4.3,"₹9,499"
79,"IAIR Basic Feature Dual Sim Mobile Phone with 2800mAh Battery, 2.4 inch Display Screen, 0.8 mp Camera ...",4,"₹1,320"
80,"realme 9i (Prism Black, 128 GB)",4.3,"₹15,999"
81,"realme 9i (Prism Black, 64 GB)",4.4,"₹12,999"
82,"realme 9i (Prism Blue, 128 GB)",4.4,"₹14,499"
83,"IAIR Basic Feature Dual Sim Mobile Phone with 1200mAh Battery, 1.7 inch Display Screen, 0.8 mp Camera ...",3.7,₹809
84,"SAMSUNG Galaxy F12 (Celestial Black, 64 GB)",4.3,"₹9,499"
85,"realme C25Y (Metal Grey, 64 GB)",4.5,"₹10,999"
86,"realme C20 (Cool Blue, 32 GB)",4.4,"₹6,999"
87,"IAIR Basic Feature Dual Sim Mobile Phone with 2800mAh Battery, 2.8 inch Display Screen, 0.8 mp Camera ...",4,"₹1,219"
88,"realme C20 (Cool Grey, 32 GB)",4.4,"₹6,999"
89,"realme 9i (Prism Blue, 128 GB)",4.3,"₹15,999"
90,"POCO C31 (Royal Blue, 64 GB)",4.4,"₹8,999"
91,"IAIR Basic Feature Dual Sim Mobile Phone with 2800mAh Battery, 1.77 inch Display Screen, 0.8 mp Camera...",3.4,₹999
92,"POCO M3 Pro 5G (Cool Blue, 64 GB)",4.3,"₹12,499"
93,"realme C25Y (Glacier Blue, 64 GB)",4.5,"₹10,999"
94,"SAMSUNG Galaxy F12 (Sea Green, 64 GB)",4.3,"₹9,499"
95,IAIR S19,3.9,"₹1,299"
96,"realme 9i (Prism Blue, 64 GB)",4.4,"₹12,999"
97,"realme C21Y (Cross Black, 64 GB)",4.5,"₹10,499"
98,"realme C21Y (Cross Blue, 64 GB)",4.5,"₹10,499"
99,"IAIR Basic Feature Dual Sim Mobile Phone with 2800mAh Battery, 2.4 inch Display Screen, 0.8 mp Camera ...",3.7,"₹1,320"
100,"realme C21Y (Cross Black, 32 GB)",4.6,"₹9,499"
101,"realme C21Y (Cross Blue, 32 GB)",4.6,"₹9,499"
102,"SAMSUNG Galaxy F12 (Sky Blue, 64 GB)",4.3,"₹9,499"
103,"IAIR Basic Feature Dual Sim Mobile Phone with 2800mAh Battery, 2.4 inch Display Screen, 0.8 mp Camera ...",4,"₹1,320"
104,"realme 9i (Prism Black, 128 GB)",4.3,"₹15,999"
105,"realme 9i (Prism Black, 64 GB)",4.4,"₹12,999"
106,"realme 9i (Prism Blue, 128 GB)",4.4,"₹14,499"
107,"IAIR Basic Feature Dual Sim Mobile Phone with 1200mAh Battery, 1.7 inch Display Screen, 0.8 mp Camera ...",3.7,₹809
108,"SAMSUNG Galaxy F12 (Celestial Black, 64 GB)",4.3,"₹9,499"
109,"realme C25Y (Metal Grey, 64 GB)",4.5,"₹10,999"
110,"realme C20 (Cool Blue, 32 GB)",4.4,"₹6,999"
111,"IAIR Basic Feature Dual Sim Mobile Phone with 2800mAh Battery, 2.8 inch Display Screen, 0.8 mp Camera ...",4,"₹1,219"
112,"realme C20 (Cool Grey, 32 GB)",4.4,"₹6,999"
113,"realme 9i (Prism Blue, 128 GB)",4.3,"₹15,999"
114,"POCO C31 (Royal Blue, 64 GB)",4.4,"₹8,999"
115,"IAIR Basic Feature Dual Sim Mobile Phone with 2800mAh Battery, 1.77 inch Display Screen, 0.8 mp Camera...",3.4,₹999
116,"POCO M3 Pro 5G (Cool Blue, 64 GB)",4.3,"₹12,499"
117,"realme C25Y (Glacier Blue, 64 GB)",4.5,"₹10,999"
118,"SAMSUNG Galaxy F12 (Sea Green, 64 GB)",4.3,"₹9,499"
119,IAIR S19,3.9,"₹1,299"
120,"realme 9i (Prism Blue, 64 GB)",4.4,"₹12,999"
121,"realme C21Y (Cross Black, 64 GB)",4.5,"₹10,499"
122,"realme C21Y (Cross Blue, 64 GB)",4.5,"₹10,499"
123,"IAIR Basic Feature Dual Sim Mobile Phone with 2800mAh Battery, 2.4 inch Display Screen, 0.8 mp Camera ...",3.7,"₹1,320"
124,"realme C21Y (Cross Black, 32 GB)",4.6,"₹9,499"
125,"realme C21Y (Cross Blue, 32 GB)",4.6,"₹9,499"
126,"SAMSUNG Galaxy F12 (Sky Blue, 64 GB)",4.3,"₹9,499"
127,"IAIR Basic Feature Dual Sim Mobile Phone with 2800mAh Battery, 2.4 inch Display Screen, 0.8 mp Camera ...",4,"₹1,320"
128,"realme 9i (Prism Black, 128 GB)",4.3,"₹15,999"
129,"realme 9i (Prism Black, 64 GB)",4.4,"₹12,999"
130,"realme 9i (Prism Blue, 128 GB)",4.4,"₹14,499"
131,"IAIR Basic Feature Dual Sim Mobile Phone with 1200mAh Battery, 1.7 inch Display Screen, 0.8 mp Camera ...",3.7,₹809
132,"SAMSUNG Galaxy F12 (Celestial Black, 64 GB)",4.3,"₹9,499"
133,"realme C25Y (Metal Grey, 64 GB)",4.5,"₹10,999"
134,"realme C20 (Cool Blue, 32 GB)",4.4,"₹6,999"
135,"IAIR Basic Feature Dual Sim Mobile Phone with 2800mAh Battery, 2.8 inch Display Screen, 0.8 mp Camera ...",4,"₹1,219"
136,"realme C20 (Cool Grey, 32 GB)",4.4,"₹6,999"
137,"realme 9i (Prism Blue, 128 GB)",4.3,"₹15,999"
138,"POCO C31 (Royal Blue, 64 GB)",4.4,"₹8,999"
