,,Unnamed: 0,Product_Name,Product_Rating,Product_Price
Amazon,35,35,"Redmi Note 11 (Horizon Blue, 4GB RAM, 64GB Storage) | 90Hz FHD+ AMOLED Display | Qualcomm® Snapdragon™ 680-6nm | Alexa Built-in",4.2 out of 5 stars,"7,999"
Amazon,36,36,"Tecno Pop 5 LTE(Ice Blue 2G+32GB)| 6.52"" HD+Dot Notch | 5000mAh | 8MP Dual Camera | Front Flash| IPX2 Splash Resistant",4.2 out of 5 stars,"14,999"
Amazon,37,37,"realme narzo 50A (Oxygen Green , 4GB RAM + 128 GB Storage) Helio G85 Processor | 50MP AI Triple Camera | 6000 mAh Battery",4.1 out of 5 stars,"5,689"
Amazon,38,38,"Samsung Galaxy M12 (Black,6GB RAM, 128GB Storage) 6 Months Free Screen Replacement for Prime",4.1 out of 5 stars,"13,499"
Amazon,39,39,Nokia 105 Single SIM (Black),4.1 out of 5 stars,"6,599"
Amazon,40,40,"Samsung Galaxy M12 (Blue,6GB RAM, 128GB Storage) 6 Months Free Screen Replacement for Prime",4.1 out of 5 stars,"12,499"
Amazon,41,41,"Vivo Y21 (Diamond Glow, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers",4.2 out of 5 stars,"11,999"
Amazon,42,42,"Tecno Pop 5 LTE(Turquoise Cyan 2G+32GB)| 6.52"" HD+Dot Notch | 5000mAh | 8MP Dual Camera | Front Flash| IPX2 Splash Resistant",4.1 out of 5 stars,"1,318"
Amazon,43,43,"Redmi Note 10T 5G (Metallic Blue, 4GB RAM, 64GB Storage) | Dual 5G | 90Hz Adaptive Refresh Rate | MediaTek Dimensity 700 7nm Processor",4.0 out of 5 stars,"11,999"
Amazon,44,44,Nokia 150 (2020) (Black),4.0 out of 5 stars,"13,990"
Amazon,45,45,"Redmi 9A (Nature Green, 3GB Ram, 32GB Storage) | 2GHz Octa-core Helio G25 Processor",4.2 out of 5 stars,669.
Amazon,46,46,"OPPO A31 (Mystery Black, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",4.2 out of 5 stars,759.
Amazon,47,47,"Redmi 9 Activ (Coral Green, 4GB RAM, 64GB Storage)",4.2 out of 5 stars,849.
Amazon,48,48,Redmi 9A (Sea Blue 3GB RAM 32GB Storage)| 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery,4.2 out of 5 stars,"7,999"
Amazon,49,49,"Tecno Spark 8T (Atlantic Blue,7GB Expandable RAM, 64GB Storage)| 50MP AI Camera | 6.6"" FHD+Display | 5000mAh",4.1 out of 5 stars,"12,990"
Amazon,50,50,"Samsung Galaxy M12 (White,4GB RAM, 64GB Storage) 6000 mAh with 8nm Processor | True 48 MP Quad Camera | 90Hz Refresh Rate",4.1 out of 5 stars,"9,999"
Amazon,51,51,"Redmi Note 11 (Starburst White, 6GB RAM, 128GB Storage)|90Hz FHD+ AMOLED Display | Qualcomm® Snapdragon™ 680-6nm | Alexa Built-in",4.0 out of 5 stars,"7,999"
Amazon,52,52,Redmi Note 11T 5G (Matte Black 8GB RAM 128GB ROM) | Dimensity 810 5G | 33W Pro Fast Charging,4.0 out of 5 stars,"9,299"
Amazon,53,53,"Tecno Spark 8 Pro (Interstellar Black,7GB Expandable RAM, 64GB Storage) 33W Fast Charger | Helio G85 Gaming Processor | 6.8"" FHD+Dot-in Display | 48MP Triple Camera",4.2 out of 5 stars,"9,999"
Amazon,54,54,"Samsung Galaxy M12 (Black,4GB RAM, 64GB Storage) 6000 mAh with 8nm Processor | True 48 MP Quad Camera | 90Hz Refresh Rate",4.1 out of 5 stars,"15,999"
Amazon,55,55,Redmi 9A(Midnight Black 3GB RAM 32GB Storage) | 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery,4.2 out of 5 stars,"18,999"
Amazon,56,56,Redmi Note 11T 5G (Aquamarine Blue 6GB RAM 128GB ROM) | Dimensity 810 5G | 33W Pro Fast Charging,4.0 out of 5 stars,"9,999"
Amazon,57,57,Redmi 10 (Prime Phantom Black 6GB RAM 128GB ROM |Helio G88 with extendable RAM Upto 2GB |FHD+ 90Hz Adaptive Sync Display),4.1 out of 5 stars,"9,999"
Amazon,58,58,"Jio Phone Next 32 GB ROM, 2 GB RAM, Blue Smartphone",4.2 out of 5 stars,"7,999"
Amazon,59,59,"Tecno Pop 5 LTE(Ice Blue 2G+32GB)| 6.52"" HD+Dot Notch | 5000mAh | 8MP Dual Camera | Front Flash| IPX2 Splash Resistant",4.2 out of 5 stars,"16,999"
Amazon,60,60,"realme narzo 50A (Oxygen Green , 4GB RAM + 128 GB Storage) Helio G85 Processor | 50MP AI Triple Camera | 6000 mAh Battery",4.1 out of 5 stars,"14,999"
Amazon,61,61,"Samsung Galaxy M12 (Black,6GB RAM, 128GB Storage) 6 Months Free Screen Replacement for Prime",4.1 out of 5 stars,"5,689"
Amazon,62,62,Nokia 105 Single SIM (Black),4.1 out of 5 stars,"6,599"
Amazon,63,63,"Samsung Galaxy M12 (Blue,6GB RAM, 128GB Storage) 6 Months Free Screen Replacement for Prime",4.1 out of 5 stars,"12,499"
Amazon,64,64,"Vivo Y21 (Diamond Glow, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers",4.2 out of 5 stars,"11,999"
